OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
IRIDIUM 33 DEB,1997-051PM,2024-01-21T05:27:24.734304,14.39566887,.0014121,86.3841,356.4024,277.1283,82.8309,0,U,35297,999,60457,.12657E-2,.3973E-4,0
IRIDIUM 33 DEB,1997-051PP,2024-01-22T20:29:34.533024,14.32580503,.0057289,86.2935,331.3853,202.0550,214.3370,0,U,35299,999,76423,.23727E-2,.6576E-4,0
IRIDIUM 33 DEB,1997-051PZ,2024-01-22T08:06:15.846624,14.58441535,.0045513,86.3957,39.2866,265.2588,94.3423,0,U,35479,999,48329,.99395E-2,.47047E-3,0
IRIDIUM 33 DEB,1997-051QA,2024-01-18T06:30:00.080064,14.43686516,.0011795,86.3607,324.4009,256.9095,103.0790,0,U,35480,999,76989,.13193E-2,.4501E-4,0
IRIDIUM 33 DEB,1997-051QE,2024-01-22T01:28:21.585216,14.60799396,.0046444,86.3720,304.6733,24.3006,336.0380,0,U,35484,999,51817,.27728E-2,.1378E-3,0
IRIDIUM 33 DEB,1997-051QJ,2024-01-20T14:30:48.520800,14.64039503,.0034433,86.3320,254.6268,285.5208,74.2203,0,U,35488,999,78082,.1627E-2,.863E-4,0
IRIDIUM 33 DEB,1997-051QN,2024-01-22T01:04:12.792864,14.59327634,.0019064,86.3624,294.8453,55.9759,304.3258,0,U,35616,999,77426,.19807E-2,.9412E-4,0
IRIDIUM 33 DEB,1997-051QQ,2024-01-18T11:38:19.499424,14.47166141,.0031195,86.3412,295.7217,173.3631,186.7992,0,U,35618,999,55334,.85299E-3,.315E-4,0
IRIDIUM 33 DEB,1997-051QS,2024-01-07T03:06:58.778208,14.12525968,.0204845,86.3950,148.9126,3.0771,357.1617,0,U,35620,999,49916,.15757E-2,.3569E-4,0
IRIDIUM 33 DEB,1997-051QU,2024-01-21T13:24:05.705568,14.56851445,.0025782,86.2179,228.1069,171.6000,216.7019,0,U,35622,999,77314,.18018E-2,.8132E-4,0
IRIDIUM 33 DEB,1997-051QX,2024-01-18T14:41:05.179200,14.20348156,.0118372,86.1977,325.4613,269.8599,213.6906,0,U,35625,999,56151,.36388E-2,.8377E-4,0
